record_kind,seed,family,clock_scheme,case,source_file,source_link,source_sha256,current_run_status,saved,example_file,example_link,ifcn_sha256,candidate_sha256,qca_sha256,width,height,area_tiles,qca_cells,drc_status,source_logic_status,source_vectors_checked,mapping_status,physical_status,physical_model,physical_coverage,physical_vectors,possible_vectors,hold_cycles,samples_per_cycle,passes,checked_tail_cycles,polarization_threshold,hold_samples_checked,initiation_interval_epochs,provenance,current_mapper_qca_identity,evidence_location,evidence_sha256,failure_reason,selection_note,current_run_evidence_location,current_run_evidence_sha256,physical_evidence_location,physical_evidence_sha256,pre_encoding_ifcn_sha256
main_run,,irregular,irregular,TOY__1bitAdderAOIG,tests/benchmarks_f/TOY/1bitAdderAOIG.v,../tests/benchmarks_f/TOY/1bitAdderAOIG.v,cbc0b3bc38b5e5545d785db580560b14c14bdbf90559297b29b8c97a1656a3ce,validated,True,examples/irregular/TOY/1bitAdderAOIG.ifcn,../examples/irregular/TOY/1bitAdderAOIG.ifcn,290fe00fc235592ae16898173ed87be61d2842c981157c33f758e64723eb7f13,f088f6e356fce115f98b68cf02934d45a9abdcb9d188390ced5c55d60434fd68,84bdf97eda7aafecb1400aaaf51ad206d4205c4fb24d9409ec63e284c1e72a0e,6,14,84,420,passed,equivalent,8,passed,passed_exhaustive,Bistable,exhaustive,8,8,8,128,2,3,0.5,6240,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__1bitAdderAOIG/candidate_000005/audit.json,eb147a6fd0a286e7e3e779ba5e36a591a1120c01d460cf3745df5041d6f400c2,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,1c95ea487f4847804d7e763ea249c6494328e3d73e3807f9acdee98cb761c33d
main_run,,irregular,irregular,TOY__1bitAdderMaj,tests/benchmarks_f/TOY/1bitAdderMaj.v,../tests/benchmarks_f/TOY/1bitAdderMaj.v,8ef091e5b42ceabe3f68ba45a1c63388f1aacb4c84c9fb83711414ace2ccfb0f,validated,True,examples/irregular/TOY/1bitAdderMaj.ifcn,../examples/irregular/TOY/1bitAdderMaj.ifcn,19caeb1264b4e2868b3844355bbc2bb0dcb9d62d0c11bdc965f67eb1e3abd898,360f509df14a8fe97550fb5f00cad3bc33b81bb39163cfb3c5a1b72384053244,77c23ff956adf75920708e05b529387bd7d4918a33f207c6ebf4d10f5d30bc3e,4,10,40,260,passed,equivalent,8,passed,passed_exhaustive,Bistable,exhaustive,8,8,8,128,2,3,0.5,3120,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__1bitAdderMaj/candidate_000005/audit.json,d8f0c86aa9d226f451d395328b3c220e890689d6390ee2a4da2c18b3da60e668,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,efc20b01abb53b7e1e49022c864d32366b1ab3fa762caafc368d37e5e8965422
main_run,,irregular,irregular,TOY__RCA2,tests/benchmarks_f/TOY/RCA2.v,../tests/benchmarks_f/TOY/RCA2.v,6bb7bb0f8df4d153052a87050e75049a3fbfb80ee2fa4bb27e3c0e06dae7dc51,validated,True,examples/irregular/TOY/RCA2__drc_only.ifcn,../examples/irregular/TOY/RCA2__drc_only.ifcn,eacf22666bac46bf4f1c0c7f1ac53571536b45872e607895c671567971b9431e,c6bbe8c748824561af8a3423774bbed27fa8335ed366d33659123d01ac487e62,a5bde501359768faf15d737d9e2ed005f24203aaf356011f1cfefba018220c74,24,38,912,2156,passed,equivalent,32,passed,failed,Bistable,exhaustive,32,32,10,128,2,3,0.5,37440,,current_default_DRC_only,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__RCA2/selection.json,00122198c3201f6c72ff77cdba061dd41a197a8c482302a3afc8ca175cbbc2d2,Recorded settled physical truth failure,"Minimum DRC-valid area/cells/route length in current recorded candidates; physical failure explicitly retained; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,9d2153c0cf1bca2cd43cfea594a13079638f444a156e94ccc0b8e9e6591614d4
main_run,,irregular,irregular,TOY__b1_r2,tests/benchmarks_f/TOY/b1_r2.v,../tests/benchmarks_f/TOY/b1_r2.v,e3a30eca140d42e477c7a20e5827cbcf331eabf1c02acf00f49e33b7dcc9fe6c,validated,True,examples/irregular/TOY/b1_r2.ifcn,../examples/irregular/TOY/b1_r2.ifcn,455559c3305c6d235955cd758959881d6195e7471f43e001685d0de171330715,17cdda19bafb28dd8b79f7677397dc592ec16c609956f3a8bf4a8dde4113f975,2274c188350524e2d923effc36302ee734f9a1147eee99bb56845a2058454c7d,10,17,170,716,passed,equivalent,8,passed,passed_exhaustive,Bistable,exhaustive,8,8,8,128,2,3,0.5,12480,,historical_current_mapper_revalidation,True,output/historical-minima-remapped/cases/TOY__b1_r2/result.json,1b6907652838ae3fdfb1ee7c90d2c7934b00a7fa244b5bc3ef0bd215ccadb9c5,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,bd415c01e818391dae8dcc55ef1d59f253e3924b0e5fe89afb642f1ad2068272
main_run,,irregular,irregular,TOY__clpl,tests/benchmarks_f/TOY/clpl.v,../tests/benchmarks_f/TOY/clpl.v,de7d65ca4373d2ed5089fa702ac40349d963ebdd3eb78e0d8c74013d284f5f62,validated,True,examples/irregular/TOY/clpl.ifcn,../examples/irregular/TOY/clpl.ifcn,f6f47169af0f0f85e1ed0b7140546633b34e301440092eb18648b4fcf14577af,f9a4ca5b94f7ffb2caccd3862cc4537a778c68966e7dfff3ba97a77626a1e263,92f8d6b35060f4b3a08ef261530286ed572b651604ecfc669ede0908c21113d4,13,16,208,708,passed,equivalent,2048,passed,passed_sampled,Bistable,sampled,32,2048,8,128,2,3,0.5,62400,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__clpl/candidate_000015/audit.json,3bd7c9fe199d0bc4e6cd96a0515fc1ead0014de0cf5ba5251b9b692fad4fb959,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,33a1095a1a09bb751a8e3938ac9620d2bf0e151f46575ac79fea758c71103151
main_run,,irregular,irregular,TOY__clpl_source_generate__clpl_source,tests/benchmarks_f/TOY/clpl_source_generate/clpl_source.v,../tests/benchmarks_f/TOY/clpl_source_generate/clpl_source.v,de7d65ca4373d2ed5089fa702ac40349d963ebdd3eb78e0d8c74013d284f5f62,validated,True,examples/irregular/TOY/clpl_source_generate/clpl_source.ifcn,../examples/irregular/TOY/clpl_source_generate/clpl_source.ifcn,956d1ed715fc7abe31d9d70cbb66d4117c756ea9fa5fb4202a9d25c5266042ec,f9a4ca5b94f7ffb2caccd3862cc4537a778c68966e7dfff3ba97a77626a1e263,92f8d6b35060f4b3a08ef261530286ed572b651604ecfc669ede0908c21113d4,13,16,208,708,passed,equivalent,2048,passed,passed_sampled,Bistable,sampled,32,2048,8,128,2,3,0.5,62400,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__clpl/candidate_000015/audit.json,3bd7c9fe199d0bc4e6cd96a0515fc1ead0014de0cf5ba5251b9b692fad4fb959,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,1c01ca1147f71eeb7dc4d39d9535e2bd326ed8f463513c668ab3bebcfeab0f38
main_run,,irregular,irregular,TOY__mux21,tests/benchmarks_f/TOY/mux21.v,../tests/benchmarks_f/TOY/mux21.v,0e439672e33b02fc619a7288e9b711e416a1566b7ac410d5cbf7b9e52fbad8c2,validated,True,examples/irregular/TOY/mux21.ifcn,../examples/irregular/TOY/mux21.ifcn,834fd6393ebfd60fa07e65381874017918b5a43e224259377b12ed05722f9d8a,7d627a13d7616e8d509983666082503a8849cb7873ef36cfe33e341c9d320b70,3d68a7d0054c5ef6d028cd2accfbfc2832ad24bb2a4927b858ad15ccdfdc1aa6,4,4,16,71,passed,equivalent,8,passed,passed_exhaustive,Bistable,exhaustive,8,8,8,128,2,3,0.5,3120,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__mux21/candidate_000017/audit.json,8369b8d7db5219947cb7652727ee1afdbb018e39b9f919cc605198e0dde041f3,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,f3624ebf2d70a069a766fadecade2939e218c33b4d91bc7523292d7edf838935
main_run,,irregular,irregular,TOY__mux41,tests/benchmarks_f/TOY/mux41.v,../tests/benchmarks_f/TOY/mux41.v,b8743fb320684d98b30060ee5a5b70ab5099ec814906e78680ca71c36f014959,validated,True,examples/irregular/TOY/mux41.ifcn,../examples/irregular/TOY/mux41.ifcn,5d72b4554512bc994cd312eda8dc8e611bbcba38eb4eecbb7361e5ce48ee21da,ac0a3faad674a8d47976539b8892d21cbb619230a32e6f2a80f1f93cd666ab23,ae5481aeadcafa5af6a0a82c5bfb0dbbbcb578a122ce751ef98636572cc485f5,16,11,176,596,passed,equivalent,64,passed,passed_exhaustive,Bistable,exhaustive,64,64,8,128,2,3,0.5,24960,,finite_D4_supplement,True,output/mux-symmetry-experiment/reflect_x_rotate90/exhaustive/audit.json,60f2b3586345a109fc0cb20191751a2ffe1a878dcd6c8febad4ca920fe0c3c0b,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,4d6e5fbe75a7b7eeff89a8ec9b1a9d7d43ecb7e1b87312325ff10821d90f2e72
main_run,,irregular,irregular,TOY__mux41_source_generate__mux41_source,tests/benchmarks_f/TOY/mux41_source_generate/mux41_source.v,../tests/benchmarks_f/TOY/mux41_source_generate/mux41_source.v,b8743fb320684d98b30060ee5a5b70ab5099ec814906e78680ca71c36f014959,validated,True,examples/irregular/TOY/mux41_source_generate/mux41_source.ifcn,../examples/irregular/TOY/mux41_source_generate/mux41_source.ifcn,7f51cd6cbc46178b9ae934b3089a73834bb4d1f8896719f7b8312ee9320c9199,ac0a3faad674a8d47976539b8892d21cbb619230a32e6f2a80f1f93cd666ab23,ae5481aeadcafa5af6a0a82c5bfb0dbbbcb578a122ce751ef98636572cc485f5,16,11,176,596,passed,equivalent,64,passed,passed_exhaustive,Bistable,exhaustive,64,64,8,128,2,3,0.5,24960,,finite_D4_supplement,True,output/mux-symmetry-experiment/reflect_x_rotate90/exhaustive/audit.json,60f2b3586345a109fc0cb20191751a2ffe1a878dcd6c8febad4ca920fe0c3c0b,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,c20a9991bcb5368af5fffd1caecd490fecb345471a831addf6657a4c68419412
main_run,,irregular,irregular,TOY__newtag,tests/benchmarks_f/TOY/newtag.v,../tests/benchmarks_f/TOY/newtag.v,a14bc5854351fe03b12f3e0975cb426e6a843ac263bf47073df2f89fe749c754,validated,True,examples/irregular/TOY/newtag.ifcn,../examples/irregular/TOY/newtag.ifcn,e51309c112265c83082af9d45d862663258fa337f86eb94fbb35a1c5a5c4aa2c,87f37b35c4381cacbf73d99354cd33e74d56f656fee0c99544f5837fb929211a,986f5c7269e7bc3dee6195a71bac66a9704c6d427394825679312d0a1f494033,10,11,110,447,passed,equivalent,256,passed,passed_sampled,Bistable,sampled,32,256,8,128,2,3,0.5,12480,,main_candidate_pool,True,output/irregular-consolidation/unified-repaired-physical/cases/TOY__newtag/candidate_000010/audit.json,a72dd2128a2ae7607d5f6e287f5e4975a2fcb527a1bac05ddf1729c6458197f9,,"Minimum area, actual cells, route length among currently mapped, recorded physical passes with identical source bytes; only the circuit title now matches the example filename, remapped QCA bytes are identical; metadata uses the unified algorithm name and actual mapped cell count; geometry/phases/I/O and QCA bytes are unchanged; Phase map encoded as 4x4 packed hex; geometry unchanged; current-mapper QCA bytes and SHA-256 identical before/after encoding.",,,,,65e52c98e7aca49f3405b04114829988b788726a13f904c2aa657a0c578a0d9a
